year,ADM1_NAME,ADM2_NAME,StabilityZone,AreaSleikh,AreaUnderTrees,AreaTotal,Production,Yieldkgha,AreaRainfed,ProductionRainfed,YieldRainfedkgha,TotalProduction,ShapeArea,ShapeLeng,annualrainmm,aridityindex,aspectdeg,bulkdens,ceccmolkg,claypct,cropland,elevationm,etmm,gddannual,grassland,gwtdepthm,maxtempc,meantempc,mintempc,moisturepct,ndvipeak,ndvistd,petmm,ph,phquality,raincvpct,rainydays,rainyrainmm,sandpct,siltpct,slopedeg,socgkg,thermalsuit,wateroccurrence,id,frostdays,heatstressdays
2004,Al_Qunaytirah,Al_Qunaytirah,1,1839,0,1839,4781,2599.78,8468,8134,960.56,12915,0.120668536,1.817203669,1406.879695,36.16978973,196.6396652,1.392797379,36.80800834,452.0421233,1,812.7813464,531.4123433,11492.13935,1,99.78962314,24.68114839,15.96130465,6.07067335,13.71310549,0.633351872,0.140983835,3888.654059,7.519971534,82.66761553,111.4886413,92.38867208,629.9775386,184.0334609,363.9594199,3.215624823,25.20123137,91.20745513,62.36754297,2324,,
2004,Aleppo,Afrin,1,1865,0,1865,8356,4480.428954,8415,13801,1640.047534,22157,0.194810459,2.230856022,1215.203869,35.09691131,184.8305861,1.371035123,25.51170824,404.3181051,1,493.5760545,527.5228424,11752.31477,1,89.965976,27.97670649,16.3226594,4.572773084,15.23720541,0.443035704,0.062292004,3461.423967,7.198506433,93.3831189,93.89885033,102.9610652,580.9413006,192.8950466,401.4796676,3.206478872,32.26458622,93.27233944,72.67440361,2326,,
2004,Aleppo,Ain_Al_Arab,2,4721,0,4721,17751,3760.008473,0,,0,17751,0.285146327,2.615456939,657.5827111,17.37959342,180.1352135,1.344070296,29.15984317,412.5287694,1,457.6511594,398.3664481,12989.92906,1,40.7417743,31.91385425,18.04156814,4.936338851,10.5437128,0.500793283,0.118242596,3782.648415,7.452704986,84.90983381,86.84747447,92.2530546,324.9056551,160.737883,374.9119357,1.026508894,16.80178945,96.9053249,86.06697787,2327,,
2004,Aleppo,Ain_Al_Arab,3,680,0,680,2380,3500,0,,0,2380,0.285146327,2.615456939,657.5827111,17.37959342,180.1352135,1.344070296,29.15984317,412.5287694,1,457.6511594,398.3664481,12989.92906,1,40.7417743,31.91385425,18.04156814,4.936338851,10.5437128,0.500793283,0.118242596,3782.648415,7.452704986,84.90983381,86.84747447,92.2530546,324.9056551,160.737883,374.9119357,1.026508894,16.80178945,96.9053249,86.06697787,2327,,
2004,Aleppo,Al_Bab,1,40,0,40,169,4225,0,0,0,169,0.223794265,2.70647827,698.8912923,19.7525318,171.3158859,1.361738999,28.32570189,404.137529,1,440.5998951,466.9869808,12728.84679,1,12.48017986,29.9933792,17.67895387,5.250335065,13.1995361,0.491892137,0.111135082,3537.236513,7.526863486,82.4378838,102.705158,90.88160485,345.5234258,172.3288421,394.8106379,0.536196258,18.97472913,98.97740645,57.38811081,2328,,
2004,Aleppo,Al_Bab,2,4021,0,4021,13699,3406.863964,0,0,0,13699,0.223794265,2.70647827,698.8912923,19.7525318,171.3158859,1.361738999,28.32570189,404.137529,1,440.5998951,466.9869808,12728.84679,1,12.48017986,29.9933792,17.67895387,5.250335065,13.1995361,0.491892137,0.111135082,3537.236513,7.526863486,82.4378838,102.705158,90.88160485,345.5234258,172.3288421,394.8106379,0.536196258,18.97472913,98.97740645,57.38811081,2328,,
2004,Aleppo,Al_Bab,3,3081,0,3081,12364,4012.982798,0,0,0,12364,0.223794265,2.70647827,698.8912923,19.7525318,171.3158859,1.361738999,28.32570189,404.137529,1,440.5998951,466.9869808,12728.84679,1,12.48017986,29.9933792,17.67895387,5.250335065,13.1995361,0.491892137,0.111135082,3537.236513,7.526863486,82.4378838,102.705158,90.88160485,345.5234258,172.3288421,394.8106379,0.536196258,18.97472913,98.97740645,57.38811081,2328,,
2004,Aleppo,Al_Bab,4,1135,0,1135,4347,3829.955947,0,0,0,4347,0.223794265,2.70647827,698.8912923,19.7525318,171.3158859,1.361738999,28.32570189,404.137529,1,440.5998951,466.9869808,12728.84679,1,12.48017986,29.9933792,17.67895387,5.250335065,13.1995361,0.491892137,0.111135082,3537.236513,7.526863486,82.4378838,102.705158,90.88160485,345.5234258,172.3288421,394.8106379,0.536196258,18.97472913,98.97740645,57.38811081,2328,,
2004,Aleppo,As_Safira,2,1003,0,1003,4414,4400.797607,483,464,960.6625259,4878,0.226229514,2.727688396,582.2826115,16.53952985,194.0542344,1.456944439,23.81607607,339.9130212,1,386.7828001,432.6432281,13058.15538,1,58.56984464,29.67338519,18.13632691,5.767509616,12.29327035,0.43730669,0.091350434,3519.551169,7.634697244,78.8434252,102.9774751,87.6107645,280.9751616,209.796782,447.6738108,1.021027812,12.3940763,96.3638462,61.3127161,2329,,
2004,Aleppo,As_Safira,3,1584,0,1584,6970,4400.252525,515,490,951.4563107,7460,0.226229514,2.727688396,582.2826115,16.53952985,194.0542344,1.456944439,23.81607607,339.9130212,1,386.7828001,432.6432281,13058.15538,1,58.56984464,29.67338519,18.13632691,5.767509616,12.29327035,0.43730669,0.091350434,3519.551169,7.634697244,78.8434252,102.9774751,87.6107645,280.9751616,209.796782,447.6738108,1.021027812,12.3940763,96.3638462,61.3127161,2329,,
